negocio,rubro,comuna_o_zona,web,contacto_publico,angulo,estado,proximo_paso,fuente
Optica Punto Visual,Optica de barrio,La Cisterna,Pendiente,Pendiente verificar,"Ubicada en Gran Avenida 8427 La Cisterna. Sin señales de sistema digital. Atencion de lunes a sabado — probable que reciba consultas fuera de horario sin respuesta",Nuevo,Buscar WhatsApp en Google Maps y enviar mensaje demo,Civico.com + Waze
Jorvics Optica,Optica de barrio,La Cisterna,https://www.facebook.com/opticajorvics/,Pendiente verificar WhatsApp,"Facebook activo. Ubicada en Gran Avenida 6483 sector Lo Ovalle — barrio denso con mucho transito peatonal. Probable alto volumen de consultas por mensaje",Nuevo,Verificar WhatsApp en Facebook y enviar mensaje demo,Facebook + Amarillas.cl
Optica Gran Avenida,Optica de barrio,La Cisterna,Pendiente,+56232326797 (fijo) — WhatsApp pendiente,"Nombre directo por ubicacion — negocio de barrio sin señal web fuerte. Teléfono fijo sugiere falta de canales digitales ordenados",Nuevo,Llamar al fijo para pedir encargado + buscar WhatsApp y enviar mensaje demo,Amarillas.cl
Omega Opticas,Optica familiar a domicilio y local,San Miguel,https://omegaopticas.cl/,+56979851464 (WhatsApp confirmado),"WhatsApp confirmado en web. Ofrecen atencion a domicilio — modelo que se potencia mucho con IA que coordina horarios y confirma visitas sin llamar",Nuevo,Enviar mensaje demo directo al WhatsApp confirmado,Web publica
New Glasses,Centro de contactologia especializado,San Miguel,https://www.newglasses.cl/,+56225517908 (fijo) — WhatsApp pendiente,"Mas de 30 años de trayectoria y 30.000 adaptaciones de lentes de contacto — alto volumen de clientes habituales con seguimientos manuales. Oportunidad clara",Nuevo,Verificar si tienen WhatsApp y enviar mensaje demo,Web publica + Amarillas.cl
Optica y Centro Auditivo San Miguel,Optica + centro auditivo,San Miguel,https://www.opticaaudiosanmiguel.com/,Pendiente verificar WhatsApp,"Doble servicio (optica + audiologia) = consultas diversas que se mezclan. Una IA que derive por tipo ahorra tiempo significativo al encargado",Nuevo,Verificar WhatsApp en web y enviar mensaje demo,Web publica
Optica Popular Maipu,Optica popular de barrio,Maipu,https://www.facebook.com/opticapopulardemaipu/,+56935798805 (WhatsApp confirmado),"WhatsApp confirmado. Se autodefinen independientes con precios solidarios — probablemente sin sistema digital mas alla de WhatsApp manual",Nuevo,Enviar mensaje demo directo al WhatsApp confirmado,Facebook + Busqueda directa
Optica Buona Visione,Optica barrio con convenios y operativos,Maipu,https://opticabuonavisione.cl/,+56998514687 (WhatsApp confirmado),"8 años en barrio Ciudad Satelite Maipu. Hacen operativos oftalmologicos en colegios y ferias — coordinacion de esos eventos hoy es manual. IG: @optica_buonavisione",Nuevo,Enviar mensaje demo directo al WhatsApp confirmado,Web publica + Perfilcomercial.cl
Optica HyH Maipu,Optica de barrio 20 años,Maipu,https://www.facebook.com/Opticahyhmaipu/,Pendiente verificar WhatsApp,"20 años en Maipu (Gustavo Ross 1556). Facebook activo. Dos décadas de clientes habituales atendidos manualmente — base fiel lista para sistematizar",Nuevo,Verificar WhatsApp en Facebook y enviar mensaje demo,Facebook
Optica Hannover Maipu,Optica en mall local,Maipu,https://www.instagram.com/opticahannovermaipu/,Pendiente verificar WhatsApp,"IG activo. Ubicada en mall Pumay Maipu — trafico constante de peatones. Sin web propia conocida. Probablemente todo el contacto digital pasa por IG DM",Nuevo,Verificar WhatsApp desde IG @opticahannovermaipu y enviar mensaje demo,Instagram + Pumay.cl
Optica MYM,Optica con fabricacion propia,Maipu,https://opticamym.cl/,Pendiente verificar WhatsApp,"Web propia con servicio de optometria. Mencionan atencion rapida por WhatsApp en reseñas pero numero no publicado abiertamente — verificar",Nuevo,Verificar WhatsApp en web/Google Maps y enviar mensaje demo,Web publica
Optica El Bosque,Optica de barrio,El Bosque,https://www.facebook.com/opticaelbosque/,Pendiente verificar WhatsApp,"Direccion confirmada: Av. Padre Hurtado 11401 El Bosque (via Waze). Facebook activo. Sin web propia. En una de las avenidas principales de la comuna",Nuevo,Verificar WhatsApp en Facebook y enviar mensaje demo,Facebook + Waze
